x,Curve1
1.06091,0.13751
1.0683,0.19841
1.0792,0.31376
1.08351,0.51949
1.09445,0.8341
1.11224,1.4678
1.12673,2.6228
1.13449,4.616
1.15458,7.502
1.17235,12.136
1.19012,19.633
1.21206,31.154
1.23824,50.391
1.26439,79.95
1.29896,126.84
1.33771,197.37
1.37634,289.88
1.42375,392.05
1.43185,433.89
1.45095,500.4
1.49992,624.8
1.5722,899.6
1.65279,1222.3
1.73335,1629.2
1.82228,2129.8
1.90701,2784.5
2.00008,3502.3
2.09733,4320.9
2.19037,5331
2.28341,6578
2.37644,8115
2.46952,10208
2.55834,12595
2.64303,16153
